,AutoEncoder (AE),CBLOF,COPOD,DeepAnT,DenoisingAutoEncoder (DAE),HBOS,Hybrid KNN,LOF,PCC,RobustPCA,Random Black Forest (RR),Torsk
OBSEA/2023-05-25.out,0.9810100117785632,0.9785665488810366,0.9175693757361604,0.2559574793875147,0.973908480565371,0.5559666666666666,0.7412530035335688,0.9989868080094229,0.9763029446407538,0.7477412249705536,0.8321140164899882,0.999
OBSEA/2020-12-18.out,0.8190991849807182,0.8044895013467103,0.8235882029421225,0.7228295635091181,0.831513193259386,0.8347953624789138,0.6694392946278611,0.8044895013467103,0.7919954128718767,0.5842948045506202,0.80369794883272,0.8905134807050057
OBSEA/2022-03-01.out,0.9783086362583931,0.9826091687890716,0.9190159759203518,0.923494788616934,0.9631268812225052,0.5502876823338736,0.7410327622134752,0.9989921278073628,0.9969402639499884,0.6604701319749942,0.8725432538707298,0.7597984976278335
OBSEA/2021-12-05.out,0.9826605324074074,0.985297800925926,0.9175909722222224,0.9184411661397962,0.980026273148148,0.5448391203703703,0.7413056712962963,0.9989851851851852,0.9509541666666668,0.6078295138888888,0.8977054054054053,0.8546061923583663
OBSEA/2023-01-13.out,0.952661294612352,0.984660255324311,0.984736844664816,0.0,0.9613497412488626,0.9866721944103064,0.9863150857570449,0.9849328528320092,0.9822259336766016,0.9843422785382336,0.9856557673969996,0.9925961308812992
OBSEA/2020-12-16.out,0.7211832632501658,0.7319907608638545,0.7528413181163458,0.6181491524112377,0.7582283534367422,0.7162943413084806,0.7241634222299136,0.7319907608638545,0.773230177018324,0.6203800780465231,0.7626389250165261,0.8502813051483069
OBSEA/2022-12-21.out,0.9334255234031203,0.9909985331377515,0.9185335378050408,0.9199748648648648,0.9277236964928656,0.6260304040538739,0.7410096012801707,0.9989915988798508,0.9868553140418722,0.689205360714762,0.808154736390913,0.791944952705846
OBSEA/2021-09-14.out,0.0146429188416543,0.0289338942341197,0.034235423554858,0.0464859005360888,0.0174362218316589,0.0314287355541718,0.038734019829515,0.0209827945500928,0.0378706715729978,0.035105612649871,0.0163514005303138,0.0064558629776021
OBSEA/2021-11-10.out,0.9447570071809126,0.9886663192031504,0.9173942552698634,0.9194968951376684,0.9400205003474637,0.5220306926106092,0.7414464906184851,0.9989923558026408,0.9907895529302756,0.5633789668751448,0.8191814605360216,0.822264108649789
OBSEA/2020-10-20.out,0.7428581976481753,0.6447168910219101,0.4774595403701084,0.2217155181820326,0.6978900415397044,0.6107427432245678,0.6138016006088147,0.6447168910219101,0.4548843454750622,0.2444149480806179,0.3547192848673545,0.2243210028405498
OBSEA/2022-05-13.out,0.961003816793893,0.9879158989207688,0.9175708081073968,0.9424632617682356,0.8883054751250329,0.6256905764674915,0.7412205843643064,0.9989897341405634,0.9727945511976837,0.4312271650434325,0.7874746407438715,0.821954795357361
OBSEA/2022-09-07.out,0.0663072802041752,0.2500723927343147,0.074804253768552,0.043484418631214,0.0580068531187431,0.1615431666999073,0.5378101145038168,0.1047092126533061,0.1250149097710925,0.0674465255789315,0.0804900473957999,0.3675849453122184
OBSEA/2022-04-09.out,0.9480297453703704,0.9854596064814816,0.9174130787037036,0.927562814658705,0.9152078703703704,0.5465309027777778,0.7411604166666667,0.9989940972222222,0.9816284722222222,0.6107796296296296,0.827619656019656,0.7879820816864294
